index,name,type,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_kind,source,source_x,source_y,source_w,source_h,source_count,hash,image
1,"ceiling_0001",ceiling,176,40,2,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0001.png",0,96,176,40,17,60cb6ae24ea0631e342e7578b59c3b385395afe0,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0001.png"
6,"ceiling_0006",ceiling,176,40,180,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0003.png",0,96,176,40,4,8512ec71d8be1eef3413e80ceb1d552c3e52e36e,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0006.png"
11,"ceiling_0011",ceiling,176,40,358,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0004.png",0,96,176,40,4,365b7fefb51f39fce9d19a785e7316c382b81d4e,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0011.png"
16,"ceiling_0016",ceiling,176,40,536,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0005.png",0,96,176,40,9,d566616d69ff1c2439243d7120eef4c527998812,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0016.png"
21,"ceiling_0021",ceiling,176,40,714,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0007.png",0,96,176,40,14,ac0c567fb8fd172732d08533efb4394089ea34d3,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0021.png"
25,"ceiling_0025",ceiling,176,40,892,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0018.png",0,96,176,40,3,32295a9cb9f37315bd8da1d08840904854f9eec8,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0025.png"
30,"ceiling_0030",ceiling,176,40,1070,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0019.png",0,96,176,40,3,ccf97c0795024ba98498010a3151ae31f1fe1390,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0030.png"
35,"ceiling_0035",ceiling,176,40,1248,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0021.png",0,96,176,40,3,7de8a4dffe1c995bf0c94f0b7d52ba7caf8ef362,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0035.png"
40,"ceiling_0040",ceiling,176,40,1426,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0022.png",0,96,176,40,24,3b6ddd0d558aa36d2da93b13a4447ea86af41b58,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0040.png"
45,"ceiling_0045",ceiling,176,40,1604,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0026.png",0,96,176,40,2,2ec3366590d032278e5174897836c33f7e3cf33f,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0045.png"
50,"ceiling_0050",ceiling,176,40,1782,2,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0027.png",0,96,176,40,2,e0ff6f017696bd1fa8378abde259cfccf698b7ba,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0050.png"
54,"ceiling_0054",ceiling,176,40,2,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0028.png",0,96,176,40,7,1d174ec57735009caa5e64df9a20989c394e1ed2,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0054.png"
57,"ceiling_0057",ceiling,176,40,180,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0030.png",0,96,176,40,9,6e8e5ab2738ed4a0d90a401c07f0c49c66393fa4,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0057.png"
60,"ceiling_0060",ceiling,176,40,358,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0004.png",0,96,176,40,2,e1d98065fd4c4e60f2a332b3007b3a2bdf87b704,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0060.png"
65,"ceiling_0065",ceiling,176,40,536,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0006.png",0,96,176,40,2,9f14706fec187df252dfe70a94008eb54a7b820d,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0065.png"
70,"ceiling_0070",ceiling,176,40,714,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0008.png",0,96,176,40,7,72eecd28d812adde8af8c125aef287b222b1340a,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0070.png"
75,"ceiling_0075",ceiling,176,40,892,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0015.png",0,96,176,40,2,5787b06607a03e2e9e6c899dbcecd914ba1c1427,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0075.png"
80,"ceiling_0080",ceiling,176,40,1070,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0017.png",0,96,176,40,2,db026a15c9193c363e73df4bcf315ff9da951786,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0080.png"
85,"ceiling_0085",ceiling,176,40,1248,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0019.png",0,96,176,40,6,ada0baf361e0670b04cc97436570edb3b66a5098,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0085.png"
90,"ceiling_0090",ceiling,176,40,1426,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0025.png",0,96,176,40,1,da9921974c0fc37ce2c95ff2cc916750eadae9b7,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0090.png"
95,"ceiling_0095",ceiling,176,40,1604,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0026.png",0,96,176,40,2,fefa5d5b575ac6ee8990347106a1bf31cedf6489,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0095.png"
100,"ceiling_0100",ceiling,176,40,1782,44,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0028.png",0,96,176,40,3,4adcff24c103b5619acfd802e3fba59120333aec,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0100.png"
104,"ceiling_0104",ceiling,176,40,2,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0031.png",0,96,176,40,2,d1a9bac9653501d7f81e09ad0da485db1842a347,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0104.png"
109,"ceiling_0109",ceiling,176,40,180,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0033.png",0,96,176,40,2,01e73c1ab9ddb9c02d83568f203031dc44a9145c,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0109.png"
114,"ceiling_0114",ceiling,176,40,358,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0035.png",0,96,176,40,2,63b1c04ffe628451888a5d66f99a44ea4f1ad256,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0114.png"
119,"ceiling_0119",ceiling,176,40,536,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0037.png",0,96,176,40,6,687b5c8795347151b51e5e2cf6a2efae625e2d64,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0119.png"
124,"ceiling_0124",ceiling,176,40,714,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0003/keyframes/key_0006.png",0,96,176,40,16,78cb9e01375952e123b702112a358a94efea6403,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0124.png"
126,"ceiling_0126",ceiling,176,40,892,86,176,40,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0004/keyframes/key_0001.png",0,96,176,40,5,0e55035b95b14fabfcdfd70323492daf458718b7,"analysis/wall_reconstruction/environment_chunk_atlas/chunks/ceiling_0126.png"
