index,name,type,width,height,atlas_x,atlas_y,atlas_w,atlas_h,source_kind,source,source_crop_x,source_crop_y,source_component,source_x,source_y,source_w,source_h,area,source_count,hash,image
1,"ceiling_0001",ceiling,97,18,2,2,97,18,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0001/keyframes/key_0001.png",0,96,1,0,96,97,18,614,223,34bca4a315b2ce3a9f2ed2ce160ef26f1a7ec37e,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0001.png"
96,"ceiling_0096",ceiling,53,19,101,2,53,19,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0031.png",0,96,3,108,126,53,19,582,2,a81a6b3aa50e5343d7d6e6397645f308b696cf6c,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0096.png"
132,"ceiling_0132",ceiling,161,19,156,2,161,19,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0005.png",0,96,3,0,126,161,19,2186,1,3a15ac97ef8dd98749c7e6485a054a8c0766aefb,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0132.png"
242,"ceiling_0242",ceiling,161,19,319,2,161,19,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0049.png",0,96,3,0,126,161,19,2187,1,2edfeac889256b73f7124614bc46b162e8e5b10a,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0242.png"
308,"ceiling_0308",ceiling,30,20,482,2,30,20,settled_corridor_view,"analysis/wall_reconstruction/unique_corridor_views/corridor_view_001_capture_0001.png",0,0,3,65,24,30,20,600,4,4d1d3ed821cebd9e10c113dad232f73bbf888361,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0308.png"
68,"ceiling_0068",ceiling,120,20,514,2,120,20,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0015.png",0,96,3,20,128,120,20,1303,2,dc866b2de4b5073c60b89d7d79b7a97c340c67fb,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0068.png"
73,"ceiling_0073",ceiling,120,20,636,2,120,20,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0002/keyframes/key_0017.png",0,96,3,20,128,120,20,1326,2,c4f307065d27a2dae401e59ca983b1579c05bdfc,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0073.png"
224,"ceiling_0224",ceiling,120,20,758,2,120,20,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0038.png",0,96,3,20,128,120,20,490,1,a656d8b4db3d5fe5244cb0ef487eaf5d07b7b781,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0224.png"
262,"ceiling_0262",ceiling,124,21,880,2,124,21,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0058.png",0,96,3,0,127,124,21,1438,1,d7552b2fa29804afb3a7f3a893a609790f67ae9c,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0262.png"
282,"ceiling_0282",ceiling,124,21,1006,2,124,21,turn_keyframe,"analysis/wall_reconstruction/turn_recordings/session_0005/keyframes/key_0065.png",0,96,3,0,127,124,21,1310,1,bab8e2d6a4241cbc6f929080c56c950760dde8dd,"analysis/wall_reconstruction/environment_surface_chunk_atlas/chunks/ceiling_0282.png"
