from_capture_frame,to_capture_frame,from_mame_frame,to_mame_frame,changed_tiles,bounds,rows,image
1,11,2513,2523,1,"168,8-175,15",1:1,keyframes/frame_00011_mame_2523.png
11,16,2523,2528,295,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:16,keyframes/frame_00016_mame_2528.png
16,22,2528,2534,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_00022_mame_2534.png
22,28,2534,2540,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_00028_mame_2540.png
28,33,2540,2545,1,"168,88-175,95",11:1,keyframes/frame_00033_mame_2545.png
33,34,2545,2546,299,"0,8-159,239",1:1 15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00034_mame_2546.png
34,35,2546,2547,1,"160,16-167,23",2:1,keyframes/frame_00035_mame_2547.png
35,43,2547,2555,2,"168,8-175,23",1:1 2:1,keyframes/frame_00043_mame_2555.png
43,66,2555,2578,1,"160,16-167,23",2:1,keyframes/frame_00066_mame_2578.png
66,73,2578,2585,2,"152,8-167,15",1:2,keyframes/frame_00073_mame_2585.png
73,75,2585,2587,1,"168,16-175,23",2:1,keyframes/frame_00075_mame_2587.png
75,84,2587,2596,1,"64,24-71,31",3:1,keyframes/frame_00084_mame_2596.png
84,98,2596,2610,1,"160,8-167,15",1:1,keyframes/frame_00098_mame_2610.png
98,106,2610,2618,1,"160,16-167,23",2:1,keyframes/frame_00106_mame_2618.png
106,107,2618,2619,1,"168,16-175,23",2:1,keyframes/frame_00107_mame_2619.png
107,138,2619,2650,2,"160,8-167,23",1:1 2:1,keyframes/frame_00138_mame_2650.png
138,139,2650,2651,1,"152,16-159,23",2:1,keyframes/frame_00139_mame_2651.png
139,141,2651,2653,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00141_mame_2653.png
141,147,2653,2659,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00147_mame_2659.png
147,148,2659,2660,1,"168,16-175,23",2:1,keyframes/frame_00148_mame_2660.png
148,153,2660,2665,291,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:19 27:19 28:19 29:16,keyframes/frame_00153_mame_2665.png
153,158,2665,2670,1,"168,88-175,95",11:1,keyframes/frame_00158_mame_2670.png
158,159,2670,2671,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00159_mame_2671.png
159,170,2671,2682,1,"160,8-167,15",1:1,keyframes/frame_00170_mame_2682.png
170,177,2682,2689,1,"152,16-159,23",2:1,keyframes/frame_00177_mame_2689.png
177,179,2689,2691,1,"168,16-175,23",2:1,keyframes/frame_00179_mame_2691.png
179,189,2691,2701,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00189_mame_2701.png
189,195,2701,2707,291,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:19 26:19 27:19 28:19 29:16,keyframes/frame_00195_mame_2707.png
195,201,2707,2713,280,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:19 23:20 24:20 25:20 26:20 27:20 28:13 29:9,keyframes/frame_00201_mame_2713.png
201,206,2713,2718,1,"168,88-175,95",11:1,keyframes/frame_00206_mame_2718.png
206,207,2718,2719,297,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00207_mame_2719.png
207,210,2719,2722,2,"160,8-175,15",1:2,keyframes/frame_00210_mame_2722.png
210,217,2722,2729,1,"152,16-159,23",2:1,keyframes/frame_00217_mame_2729.png
217,219,2729,2731,1,"168,16-175,23",2:1,keyframes/frame_00219_mame_2731.png
219,233,2731,2745,298,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:20 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:18,keyframes/frame_00233_mame_2745.png
233,235,2745,2747,1,"168,8-175,15",1:1,keyframes/frame_00235_mame_2747.png
235,239,2747,2751,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_00239_mame_2751.png
239,245,2751,2757,262,"0,120-159,239",15:20 16:20 17:19 18:20 19:20 20:20 21:16 22:19 23:20 24:20 25:20 26:20 27:18 28:8 29:2,keyframes/frame_00245_mame_2757.png
245,249,2757,2761,1,"152,16-159,23",2:1,keyframes/frame_00249_mame_2761.png
249,250,2761,2762,1,"168,88-175,95",11:1,keyframes/frame_00250_mame_2762.png
250,251,2762,2763,295,"0,120-159,239",15:20 16:20 17:20 18:20 19:20 20:20 21:19 22:20 23:20 24:20 25:20 26:20 27:20 28:20 29:16,keyframes/frame_00251_mame_2763.png
251,252,2763,2764,1,"168,16-175,23",2:1,keyframes/frame_00252_mame_2764.png
252,275,2764,2787,1,"168,8-175,15",1:1,keyframes/frame_00275_mame_2787.png
275,276,2787,2788,1,"64,24-71,31",3:1,keyframes/frame_00276_mame_2788.png
276,281,2788,2793,1,"152,16-159,23",2:1,keyframes/frame_00281_mame_2793.png
281,291,2793,2803,1,"168,16-175,23",2:1,keyframes/frame_00291_mame_2803.png
291,292,2803,2804,1,"160,16-167,23",2:1,keyframes/frame_00292_mame_2804.png
292,315,2804,2827,1,"168,8-175,15",1:1,keyframes/frame_00315_mame_2827.png
315,321,2827,2833,1,"152,16-159,23",2:1,keyframes/frame_00321_mame_2833.png
321,322,2833,2834,1,"160,16-167,23",2:1,keyframes/frame_00322_mame_2834.png
322,347,2834,2859,1,"168,8-175,15",1:1,keyframes/frame_00347_mame_2859.png
347,353,2859,2865,1,"152,16-159,23",2:1,keyframes/frame_00353_mame_2865.png
353,362,2865,2874,1,"160,16-167,23",2:1,keyframes/frame_00362_mame_2874.png
362,387,2874,2899,1,"168,8-175,15",1:1,keyframes/frame_00387_mame_2899.png
387,393,2899,2905,2,"152,8-159,23",1:1 2:1,keyframes/frame_00393_mame_2905.png
393,394,2905,2906,1,"160,16-167,23",2:1,keyframes/frame_00394_mame_2906.png
