key_index,capture_frame,mame_frame,source_png,review_png,tile_hash,png_hash
1,1,2513,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00001_mame_2513.png,keyframes/key_0001.png,26c9620bf01bb6ae3ca548e208d4ac4d60138ec5,e6d262810b42df76f95fa7eaca227d371e841e5b
2,11,2523,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00011_mame_2523.png,keyframes/key_0002.png,af377d9ebf11b72619615fd3f80cf26315856611,7e1140e14867fb9723f6a1b7595ace3dad48d881
3,16,2528,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00016_mame_2528.png,keyframes/key_0003.png,5e7711ef1c7080efd48205a3d6c70cab3897e15c,6e36eb86483acd92dbcabcc61945d4fecb0cb679
4,22,2534,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00022_mame_2534.png,keyframes/key_0004.png,f7d0ccdd36bcc84dd14af63bdd1d8cf3c78556c7,7ee0684c3574cddfdebd7984095f1efa35a6a023
5,28,2540,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00028_mame_2540.png,keyframes/key_0005.png,5d5648c2c7228cbe1e4b537785625e652d64b9f9,5cf34d962fb880e47b9a71991c602cf2cee84913
6,33,2545,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00033_mame_2545.png,keyframes/key_0006.png,bad7cada4f6278158c2cf52928bcad265977997b,1e4ac646cb9fb37deccfc206b24a67aa26b534aa
7,34,2546,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00034_mame_2546.png,keyframes/key_0007.png,9fb5580d5ae2ddbb95574ae2751504fcb1a2fe81,e15b007b70ef63e6c7012c37906eefd4b3b09723
8,43,2555,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00043_mame_2555.png,keyframes/key_0008.png,3b6245cb01656caf16568890ec4f8df1900e6975,986051b16302b5bd908bdadbe3fae515c2308303
9,66,2578,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00066_mame_2578.png,keyframes/key_0009.png,c967875c673e924bdaacc65bf0ba4266d005b429,09a7c8cd43752dc8f18346dfa01a65dd8184a51d
10,73,2585,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00073_mame_2585.png,keyframes/key_0010.png,b3b028cf4320c9cb60a18d5a6859922e66d1394a,cdd782eea145cefc69b5343cd16cab20706c86f4
11,75,2587,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00075_mame_2587.png,keyframes/key_0011.png,cd4ab6ec35626e0ed98d1068a3dc68c3ae1dd439,2c4df45734aab0dcd8211cbcf3848114f27c2dc0
12,84,2596,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00084_mame_2596.png,keyframes/key_0012.png,7c3b26dd3bfba75cbc86189dd2ce1b6c10499792,420789c66714825bc2d2f905a2bdaffbc3980d8c
13,98,2610,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00098_mame_2610.png,keyframes/key_0013.png,ea8ed2a1116c33705e2b950a37ef7e4bcf81f8e7,950a9187f9ecab6c1c72d01052eb23cc9318467f
14,106,2618,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00106_mame_2618.png,keyframes/key_0014.png,592e49fb7d322b977beff8691ba988545025d603,375bdf8db8f057e3b5b7249bf070cf2693249c55
15,107,2619,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00107_mame_2619.png,keyframes/key_0015.png,776b4d372d60c11999c2cdce43bf22a4c085fc86,4b72a70e820ed7524e98e3539e05eb9338d01520
16,138,2650,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00138_mame_2650.png,keyframes/key_0016.png,396e56c2727e245f916e539da288a0f6684a8533,dea0b58b8b2df6f3a8f20633a07116dd3ff9e6db
17,139,2651,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00139_mame_2651.png,keyframes/key_0017.png,ae9e84d36d1b5a7a0e8b9b400c4471e73e691150,c7782a5f92ad8c42711d6b1ab233cf949d5514ec
18,141,2653,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00141_mame_2653.png,keyframes/key_0018.png,ab2e90650083c04467686a3c3e7b9c2a8fb15ccd,c39bafbe8385270814b4d6985887cb0104a6c667
19,147,2659,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00147_mame_2659.png,keyframes/key_0019.png,a05d9886c8c85e12e62ebdb5d191a87a1c26eace,5f8c8ea24686a09c63cd40ef2f558ddb6569d23c
20,148,2660,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00148_mame_2660.png,keyframes/key_0020.png,d451f7b38ee284e6ce8050f64eeef983cddf22a7,14132701bda264892dcae5388801f12d10d5d5e2
21,158,2670,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00158_mame_2670.png,keyframes/key_0021.png,68f8ba825051f225ff76256201182921fcbbca8e,02c0398857988431a56aafdf6ee9270c49e3ccc2
22,159,2671,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00159_mame_2671.png,keyframes/key_0022.png,2b758544edaf169032882709121c9c908ef39b35,09b0e1b73404866024cf42fa10e5ec3828a7bbd2
23,170,2682,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00170_mame_2682.png,keyframes/key_0023.png,d876c8cbfe451a7ce6c60ec81b76aff9253cdf6e,4fe85150816a6031b0b5e0f4ecf9d287226c901b
24,177,2689,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00177_mame_2689.png,keyframes/key_0024.png,79ba1d8723fa89253f256ff0f74e24ee72469bb1,35f3f5dccb0a35bc8bc69f6612a90ab429798c47
25,179,2691,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00179_mame_2691.png,keyframes/key_0025.png,208296ce95ff7bd7d35ff825774f6a0a83f3c186,127cc2f8b01add6de60683e33fdbcdfe34c2975f
26,189,2701,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00189_mame_2701.png,keyframes/key_0026.png,0666ed226066d5f60758d2c811926be52882eeab,dd7654f094ed420886005315b30af5373a53ba10
27,195,2707,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00195_mame_2707.png,keyframes/key_0027.png,2907d83d611716c48ff285166c092bfba58365d6,b977bc293fbc69e49c7b51a9f8b7887fe13ecacd
28,201,2713,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00201_mame_2713.png,keyframes/key_0028.png,22337dbf3c4acb61eab35ba8c1d7d4aaf0b0778c,f21007335a49bdb4047015418669afe20a7e9d53
29,206,2718,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00206_mame_2718.png,keyframes/key_0029.png,6ff0f09817ebe30cd9f8b23e930357b820ce70b0,4f8f65d1899fdb58a8a2edbbcc8c77be6b1f84a9
30,207,2719,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00207_mame_2719.png,keyframes/key_0030.png,fdb4c0fa071c4268ffb28e7852ab7b4452974f01,9fd334fa33407aa83794ed0bb7f48d623a858a41
31,210,2722,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00210_mame_2722.png,keyframes/key_0031.png,ea732408859d20da1ebfc7de300258f8c0dcdd54,6f58ffaee5a30756890589a62cb6340dba8e7d4b
32,217,2729,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00217_mame_2729.png,keyframes/key_0032.png,a4ae01b8597e1dea6b5ab160f42a6a67e2560780,a44d7a91bc84726ca914b705df370bc171459264
33,219,2731,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00219_mame_2731.png,keyframes/key_0033.png,5ef7866eaafa4d43dac131577e5944a1294dc219,8974f804116d92e3699386311c9bcce63da1d833
34,235,2747,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00235_mame_2747.png,keyframes/key_0034.png,25cf3e7c77faa2c4aa0831bbd9e8435c769b82d7,e4bd95a6d39f8514813c8212678bb70deb3f49fd
35,239,2751,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00239_mame_2751.png,keyframes/key_0035.png,860d8ebe7100e801168aff611f2545b6a12c02ec,0a039c8778f8adfaced300a3e6185d9d7c899eca
36,245,2757,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00245_mame_2757.png,keyframes/key_0036.png,9bc2aeb16d7d621bb4112a30956b1c5318531e77,69d2ac43a4217ae69174bba4dbb02705ab4c8ff6
37,249,2761,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00249_mame_2761.png,keyframes/key_0037.png,6cc7c88d1b7397e443bc2ca285fc5350c7618637,1eae9d75ce538dae0381c3829585ad0872a30d2f
38,250,2762,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00250_mame_2762.png,keyframes/key_0038.png,dae44ac514cc6b5b9fdb5921f428c871562ace8e,e3938866834910e6d9266498dd978d1b8d5c4f5a
39,251,2763,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00251_mame_2763.png,keyframes/key_0039.png,a23d5d384e7015639e1031434df1c98f787ba7cf,37a7f4f6b11f71e9262eae50ef53d3fbf855141f
40,252,2764,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00252_mame_2764.png,keyframes/key_0040.png,c5ca5d22595c37cccebcc48b76b9c30be794ff45,acd2cd125632c3918d4c432c6c011526b6afb6b1
41,275,2787,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00275_mame_2787.png,keyframes/key_0041.png,dbf6f4dab404085367569e7d51ba648116c59fa9,786ed28aef6292fe61546b1573d32cb8e6e01e4a
42,276,2788,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00276_mame_2788.png,keyframes/key_0042.png,d41cbb1a0127ac72028eb2b0c1c419babca3180e,6dc3cfd7d2bbb3d4ada54642b66375d09136673e
43,281,2793,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00281_mame_2793.png,keyframes/key_0043.png,51e0e2a3a430df90ac6dfd41d81c118114ed2a05,d22584118c2b432824141acb2f931df8630d1469
44,291,2803,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00291_mame_2803.png,keyframes/key_0044.png,270c2b1e42d50b6cb1dfd70bc7d833488fe578da,2167ba3b5b6d32d337c8ba0376dfc0aa826f8322
45,292,2804,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00292_mame_2804.png,keyframes/key_0045.png,411af1ef276d13ffac5582eab60fbda7aae243b2,0afd4a44a0923664a4a12dbed728099df1f57ec2
46,315,2827,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00315_mame_2827.png,keyframes/key_0046.png,f306af48ad4f52df50d45ea4d521f8ccbfde7714,4e2dff47e087ed09808de7b2158c2d239a0bbf34
47,321,2833,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00321_mame_2833.png,keyframes/key_0047.png,0e87c942445026b8f94062ec1e9115608dfb7c24,fdb259ccd052f6a209eee3a4bd87ebc436021cfc
48,347,2859,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00347_mame_2859.png,keyframes/key_0048.png,9d38c357404739b3e7677999d93bacf6d2ec13a9,011f1108591b1f85bcffa193f2d3606ae201e244
49,353,2865,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00353_mame_2865.png,keyframes/key_0049.png,ba9a132d3055488eaab003cfefe1b9d0226e8388,5fc5f80a39cd4e57a24eb56b7ef9e063bd553e0b
50,362,2874,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00362_mame_2874.png,keyframes/key_0050.png,6880311a3b54e1101077255ba566788fae3a59cc,88145f8ced1e2b4d5daf63113e486657cb89da2d
51,387,2899,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00387_mame_2899.png,keyframes/key_0051.png,23565b0dc0a0c596365262e3329b49f2c638b0ee,759e3af5f433c36e1756a052c348fa7dc690bac4
52,393,2905,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00393_mame_2905.png,keyframes/key_0052.png,d2270a1e6e3ace373c892df4d0918f39a724a588,48c2dc94861a6208360bc0f724fb7ed9a2c36b78
53,394,2906,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00394_mame_2906.png,keyframes/key_0053.png,144d3f57f53f4e0ea98893f4f9cff3523719675e,73132e7f67dbe5f598770095e703ac5d8e569753
54,402,2914,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00402_mame_2914.png,keyframes/key_0054.png,91c55cb3e63e9bd516ee156cdd6747edb533aa45,f71a745cfa91e28f43311caf44fae8f85ddffbc4
55,408,2920,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00408_mame_2920.png,keyframes/key_0055.png,f69af726289ff04d1c51b8fd56e3019ea5e32d1b,29cf7d4f374a130827b0188c46f69a5c5a26cc20
56,414,2926,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00414_mame_2926.png,keyframes/key_0056.png,7a75e63ac4b4d45365615dca41b7088e7ae0c8f9,d58a4224da4ddea29379c87539906511be397d9f
57,419,2931,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00419_mame_2931.png,keyframes/key_0057.png,25705b2c1b71738ef20820199b68895decfa1c5c,caff6b2d39bef3c4ebe69c7ed79a247bc4bee0df
58,420,2932,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00420_mame_2932.png,keyframes/key_0058.png,58a61959d7e45c967ac50dc1f2339707fddd2eec,a07690541126ff7044629f0955e864a81ee6d9b3
59,425,2937,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00425_mame_2937.png,keyframes/key_0059.png,e30c30890a1b70b16168c24f264bca23f81fce73,083d413dc1f3fb1192d0909d45c6bdc3a20e4f26
60,434,2946,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00434_mame_2946.png,keyframes/key_0060.png,c6d08c14ab39656747a235bb89b2ff2dae6da3f2,fbaae13bdd0a51bf5e7911e27ab8361aefc79bde
61,448,2960,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00448_mame_2960.png,keyframes/key_0061.png,7da3e1ec791b75b0255b5e1c70e69a6a6025c363,ab5c7be911d4000be469413014aba3c3573d1f2d
62,454,2966,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00454_mame_2966.png,keyframes/key_0062.png,391a094e4cbe04871cf2538135eeea2d61fdd33b,8fa7194065e4b9ac3328372d93506bd93e1c717c
63,459,2971,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00459_mame_2971.png,keyframes/key_0063.png,a970a5a062eaeaac4decfb96bc216b3518085c11,b82a600ef4f128144a17a4da2d2d4c1fa2bc2d29
64,460,2972,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00460_mame_2972.png,keyframes/key_0064.png,0e8cc6504d49664f105f6533e31a77379fa1f66a,9385c66a14f00eddc703c88ecfa9642728deb865
65,465,2977,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00465_mame_2977.png,keyframes/key_0065.png,eaf7e1f803cb95caf9fda010b205215aa6e42a5d,1f6853c6998cb54f20d47158c2b163abcae56e1d
66,468,2980,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00468_mame_2980.png,keyframes/key_0066.png,23eca282c37277536fdcc0b20238d577fe7092d4,3e6a1f8a3c273eed146dfa838cb5e1fc3cd86b2c
67,473,2985,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00473_mame_2985.png,keyframes/key_0067.png,e07deb92a213a5c7668a79c745f3e568a22be022,d126c17e93bd971871e68322cac051539cdb4222
68,491,3003,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00491_mame_3003.png,keyframes/key_0068.png,57487f008cef28890ea9227bf837bfd9e8b01d8f,4a933da315736544462c236c9367f59bdf549d46
69,497,3009,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00497_mame_3009.png,keyframes/key_0069.png,b6871a51544538316e1a470552677bda4d8822bd,abcff5426d65a1834f05aad3de1115dfee874eb6
70,505,3017,..\..\mame-src\snap\xybots_capture\wall_turn_recordings\session_0001\playfield\frame_00505_mame_3017.png,keyframes/key_0070.png,751356f97c2cadb36ce8ce7c3e2d9771ddc3c0eb,0819e753606046cb4bfff331935aa751ce6342cc
