"file","view_index","zone","x","y","width","height","hash"
"left_wall_view_001.png","1","left_wall","0","120","128","120","2e583693cd8fd6cb"
"center_back_view_001.png","1","center_back","40","120","136","72","4e20e30b20228079"
"right_wall_view_001.png","1","right_wall","104","120","72","120","94233ecd585b5925"
"floor_view_001.png","1","floor","0","172","176","68","f657c11e5824a1fb"
"left_wall_view_002.png","2","left_wall","0","120","128","120","82be70d810cd197c"
"center_back_view_002.png","2","center_back","40","120","136","72","42ad77a99e0a61e0"
"right_wall_view_002.png","2","right_wall","104","120","72","120","d2cec85010cd8b8d"
"floor_view_002.png","2","floor","0","172","176","68","945df7590d7a7c66"
"left_wall_view_003.png","3","left_wall","0","120","128","120","1c5595d3ac5902dc"
"center_back_view_003.png","3","center_back","40","120","136","72","0855812f022160b3"
"right_wall_view_003.png","3","right_wall","104","120","72","120","8067fdb787b254f8"
"floor_view_003.png","3","floor","0","172","176","68","9119538e1b3daf50"
"left_wall_view_004.png","4","left_wall","0","120","128","120","5f64fff3b661b474"
"center_back_view_004.png","4","center_back","40","120","136","72","081fbe8c1de3b94e"
"right_wall_view_004.png","4","right_wall","104","120","72","120","d09e4770054d6e89"
"floor_view_004.png","4","floor","0","172","176","68","daa9baaea03293de"
"left_wall_view_005.png","5","left_wall","0","120","128","120","172d993e32bfe355"
"center_back_view_005.png","5","center_back","40","120","136","72","69c3e5cbe057324b"
"right_wall_view_005.png","5","right_wall","104","120","72","120","1a4b79b1216a7240"
"floor_view_005.png","5","floor","0","172","176","68","bcdcbd4665440b8b"
"left_wall_view_006.png","6","left_wall","0","120","128","120","8c014916ea345426"
"center_back_view_006.png","6","center_back","40","120","136","72","347ecd07e73984aa"
"right_wall_view_006.png","6","right_wall","104","120","72","120","da68e3463d0bc0f3"
"floor_view_006.png","6","floor","0","172","176","68","76681bef49a570be"
"left_wall_view_007.png","7","left_wall","0","120","128","120","1764be90ac4d6d4d"
"center_back_view_007.png","7","center_back","40","120","136","72","c21c55d2444ceb6c"
"right_wall_view_007.png","7","right_wall","104","120","72","120","11007f36b87ec465"
"floor_view_007.png","7","floor","0","172","176","68","0f5d941b6b42b95c"
"left_wall_view_008.png","8","left_wall","0","120","128","120","391caf0dcf93938e"
"center_back_view_008.png","8","center_back","40","120","136","72","e40d6e06d7387ae9"
