"sheet_index","raw","code","code_hex","color","flag","first_capture","first_map_x","first_map_y","pixel_hash"
"0","0x183C","6204","0x183C","3","0","capture_0001","0","15","FFDCA166FFDCA166"
"1","0x184A","6218","0x184A","3","0","capture_0001","1","15","FFDCA166FFDCA166"
"2","0x2956","2390","0x0956","5","0","capture_0001","2","15","FFDCA166FFDCA166"
"3","0x280E","2062","0x080E","5","0","capture_0001","3","15","FFDCA166FFDCA166"
"4","0xA956","2390","0x0956","5","1","capture_0001","17","15","FFDCA166FFDCA166"
"5","0x984A","6218","0x184A","3","1","capture_0001","18","15","FFDCA166FFDCA166"
"6","0x983C","6204","0x183C","3","1","capture_0001","19","15","FFDCA166FFDCA166"
"7","0x0871","2161","0x0871","1","0","capture_0001","20","15","FF060621FF38273E"
"8","0x087C","2172","0x087C","1","0","capture_0001","21","15","FF38273EFF877E6C"
"9","0x183D","6205","0x183D","3","0","capture_0001","0","16","FFA98787FFA98787"
"10","0x184B","6219","0x184B","3","0","capture_0001","1","16","FFA2B0CBFFA2B0CB"
"11","0x2957","2391","0x0957","5","0","capture_0001","2","16","FF3E4F54FF3E4F54"
"12","0x2962","2402","0x0962","5","0","capture_0001","3","16","FF876336FF876336"
"13","0x296D","2413","0x096D","5","0","capture_0001","4","16","FF876336FF876336"
"14","0x4086","134","0x0086","8","0","capture_0001","5","16","FF876336FF876336"
"15","0x408F","143","0x008F","8","0","capture_0001","6","16","FF876336FF876336"
"16","0xC086","134","0x0086","8","1","capture_0001","14","16","FF876336FF876336"
"17","0xA96D","2413","0x096D","5","1","capture_0001","15","16","FF876336FF876336"
"18","0xA962","2402","0x0962","5","1","capture_0001","16","16","FF876336FF876336"
"19","0xA957","2391","0x0957","5","1","capture_0001","17","16","FF876336FF876336"
"20","0x984B","6219","0x184B","3","1","capture_0001","18","16","FFA2B0CBFFA2B0CB"
"21","0x983D","6205","0x183D","3","1","capture_0001","19","16","FFA2B0CBFFA98787"
"22","0x0872","2162","0x0872","1","0","capture_0001","20","16","FF060621FF877E6C"
"23","0x087D","2173","0x087D","1","0","capture_0001","21","16","FF877E6CFF4F4F54"
"24","0x183E","6206","0x183E","3","0","capture_0001","0","17","FF5663BAFF5663BA"
"25","0x184C","6220","0x184C","3","0","capture_0001","1","17","FFA2B0CBFFA2B0CB"
"26","0x2958","2392","0x0958","5","0","capture_0001","2","17","FF3E4F54FF8792A9"
"27","0x2963","2403","0x0963","5","0","capture_0001","3","17","FF8792A9FF8792A9"
"28","0x296E","2414","0x096E","5","0","capture_0001","4","17","FF876C6CFF876C6C"
"29","0x4087","135","0x0087","8","0","capture_0001","5","17","FF252F32FF6C7587"
"30","0x4090","144","0x0090","8","0","capture_0001","6","17","FF654A28FF654A28"
"31","0x5880","6272","0x1880","11","0","capture_0001","7","17","FF654A28FF654A28"
"32","0x6097","151","0x0097","12","0","capture_0001","8","17","FF654A28FF654A28"
"33","0xF836","6198","0x1836","15","1","capture_0001","12","17","FF654A28FF654A28"
"34","0xC090","144","0x0090","8","1","capture_0001","13","17","FF654A28FF654A28"
"35","0xC087","135","0x0087","8","1","capture_0001","14","17","FF654A28FF654A28"
"36","0xA96E","2414","0x096E","5","1","capture_0001","15","17","FF8792A9FF8792A9"
"37","0xA963","2403","0x0963","5","1","capture_0001","16","17","FF876C6CFF876C6C"
"38","0xA958","2392","0x0958","5","1","capture_0001","17","17","FF8792A9FF8792A9"
"39","0x984C","6220","0x184C","3","1","capture_0001","18","17","FFA2B0CBFFA2B0CB"
